Atendente;Cliente;CPF;Telefone;EspecieBeneficio;PropostaTipo;NumeroProposta;PropostaStatus;BancoDigitado; ValorContrato ; ValorParcela ; ValorTroco ;TaxaPorc;TaxaCET;QuantidadeParcelas;BancoPortado;DataEnvioCIP;DataSaldoPago;OrigemCaptacao;Orgao;PossuiGravacao;PossuiFoto;EmRevisao;DataUltimoStatus;PossuiPendente;DataCriacaoProposta;
ALINE MARTINS FERREIRA;BEATRIZ WILLIAM TAVARES ;999.000.008-00;(11) 90000-0008;42;PORTABILIDADE;658641797;SALDO PAGO;PARANA; R$ -   ; R$ 787,39 ; R$ -   ;0,00%;0,00%;0;BRB;25/06/2026;04/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;04/08/2026;NAO;25/06/2026;
ALINE MARTINS FERREIRA;CAMILA MIGUEL FERREIRA;999.000.015-00;(11) 90000-0015;42;PORTABILIDADE;658716768;INTEGRADO;PARANA; R$ 13.740,81 ; R$ 398,00 ; R$ -   ;0,00%;0,00%;0;INBURSA;18/08/2026;25/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;31/08/2026;NAO;18/08/2026;
ALINE MARTINS FERREIRA;CAMILA MIGUEL FERREIRA;999.000.015-00;(11) 90000-0015;42;REFIN DA PORTABILIDADE;858716787;INTEGRADO;PARANA; R$ 19.846,19 ; R$ 398,00 ; R$ 6.136,43 ;1,60%;1,63%;108;INBURSA;18/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;31/08/2026;NAO;31/08/2026;
ALINE MARTINS FERREIRA;CECILIA MIGUEL MIRANDA ;999.000.018-00;(11) 90000-0018;42;PORTABILIDADE;658654791;INTEGRADO;PARANA; R$ 23.452,54 ; R$ 576,30 ; R$ -   ;0,00%;0,00%;0;SANTANDER;02/08/2026;07/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;13/08/2026;NAO;02/08/2026;
ALINE MARTINS FERREIRA;CECILIA MIGUEL MIRANDA ;999.000.018-00;(11) 90000-0018;42;REFIN DA PORTABILIDADE;858654797;INTEGRADO;PARANA; R$ 27.315,81 ; R$ 576,30 ; R$ 3.863,27 ;1,60%;1,62%;96;SANTANDER;02/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;18/08/2026;NAO;13/08/2026;
ALINE MARTINS FERREIRA;CECILIA MIGUEL MIRANDA ;999.000.018-00;(11) 90000-0018;42;PORTABILIDADE;658654858;INTEGRADO;PARANA; R$ 7.998,81 ; R$ 213,80 ; R$ -   ;0,00%;0,00%;0;MERCANTIL;02/08/2026;07/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;17/08/2026;NAO;02/08/2026;
ALINE MARTINS FERREIRA;CECILIA MIGUEL MIRANDA ;999.000.018-00;(11) 90000-0018;42;PORTABILIDADE;658654821;INTEGRADO;PARANA; R$ 7.998,81 ; R$ 213,80 ; R$ -   ;0,00%;0,00%;0;MERCANTIL;02/08/2026;07/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;17/08/2026;NAO;02/08/2026;
ALINE MARTINS FERREIRA;CECILIA MIGUEL MIRANDA ;999.000.018-00;(11) 90000-0018;42;REFIN DA PORTABILIDADE;858714213;INTEGRADO;PARANA; R$ 10.169,96 ; R$ 213,80 ; R$ 2.147,86 ;1,60%;1,62%;96;MERCANTIL;02/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;25/08/2026;NAO;17/08/2026;
ALINE MARTINS FERREIRA;CECILIA MIGUEL MIRANDA ;999.000.018-00;(11) 90000-0018;42;REFIN DA PORTABILIDADE;858716002;INTEGRADO;PARANA; R$ 10.169,96 ; R$ 213,80 ; R$ 2.147,86 ;1,60%;1,62%;96;MERCANTIL;02/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;25/08/2026;NAO;17/08/2026;
ALINE MARTINS FERREIRA;CECILIA MIGUEL MIRANDA ;999.000.018-00;(11) 90000-0018;42;PORTABILIDADE;658654740;INTEGRADO;PARANA; R$ 7.244,03 ; R$ 169,00 ; R$ -   ;0,00%;0,00%;0;AGIBANK;02/08/2026;07/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;12/08/2026;NAO;02/08/2026;
ALINE MARTINS FERREIRA;CECILIA MIGUEL MIRANDA ;999.000.018-00;(11) 90000-0018;42;REFIN DA PORTABILIDADE;858654755;INTEGRADO;PARANA; R$ 8.021,78 ; R$ 169,00 ; R$ 777,75 ;1,60%;1,61%;96;AGIBANK;02/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;18/08/2026;NAO;12/08/2026;
ALINE MARTINS FERREIRA;CECILIA MIGUEL MIRANDA ;999.000.018-00;(11) 90000-0018;42;PORTABILIDADE;658654762;INTEGRADO;PARANA; R$ 6.620,84 ; R$ 149,56 ; R$ -   ;0,00%;0,00%;0;BANCO PAULISTA;02/08/2026;07/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;20/08/2026;NAO;02/08/2026;
ALINE MARTINS FERREIRA;CECILIA MIGUEL MIRANDA ;999.000.018-00;(11) 90000-0018;42;REFIN DA PORTABILIDADE;858729738;AGUARDANDO ORG;PARANA; R$ 7.157,00 ; R$ 149,56 ; R$ 508,98 ;1,60%;1,61%;96;BANCO PAULISTA;02/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;27/08/2026;NAO;20/08/2026;
ALINE MARTINS FERREIRA;CECILIA MIGUEL MIRANDA ;999.000.018-00;(11) 90000-0018;42;PORTABILIDADE;658654844;INTEGRADO;PARANA; R$ 5.766,14 ; R$ 141,64 ; R$ -   ;0,00%;0,00%;0;PAN;02/08/2026;07/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;19/08/2026;NAO;02/08/2026;
ALINE MARTINS FERREIRA;CECILIA MIGUEL MIRANDA ;999.000.018-00;(11) 90000-0018;42;REFIN DA PORTABILIDADE;858654852;INTEGRADO;PARANA; R$ 6.713,60 ; R$ 141,64 ; R$ 947,46 ;1,60%;1,63%;96;PAN;02/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;25/08/2026;NAO;19/08/2026;
ALINE MARTINS FERREIRA;CECILIA MIGUEL MIRANDA ;999.000.018-00;(11) 90000-0018;42;MARGEM;858751232;AGUARDANDO ORG;PARANA; R$ 2.774,84 ; R$ 68,50 ; R$ 2.774,84 ;1,85%;1,93%;108;;30/08/2026;;Telefone Receptivo;INSS;SIM;NAO;NAO;30/08/2026;NAO;30/08/2026;
ALINE MARTINS FERREIRA;GABRIEL AUGUSTO VIEIRA ;999.000.035-00;(11) 90000-0035;42;PORTABILIDADE;658704389;INTEGRADO;PARANA; R$ 14.795,50 ; R$ 375,71 ; R$ -   ;0,00%;0,00%;0;;14/08/2026;24/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;01/09/2026;NAO;14/08/2026;
ALINE MARTINS FERREIRA;GABRIEL AUGUSTO VIEIRA ;999.000.035-00;(11) 90000-0035;42;REFIN DA PORTABILIDADE;858704399;AGUARDANDO ORG;PARANA; R$ 18.188,11 ; R$ 375,71 ; R$ 3.716,07 ;1,60%;1,62%;108;;14/08/2026;;Telefone Receptivo;INSS;NAO;NAO;NAO;01/09/2026;NAO;01/09/2026;
ALINE MARTINS FERREIRA;GABRIEL AUGUSTO VIEIRA ;999.000.035-00;(11) 90000-0035;42;PORTABILIDADE;658704405;INTEGRADO;PARANA; R$ 7.558,19 ; R$ 163,94 ; R$ -   ;0,00%;0,00%;0;INBURSA;14/08/2026;21/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;26/08/2026;NAO;14/08/2026;
ALINE MARTINS FERREIRA;GABRIEL AUGUSTO VIEIRA ;999.000.035-00;(11) 90000-0035;42;REFIN DA PORTABILIDADE;858704415;INTEGRADO;PARANA; R$ 8.215,03 ; R$ 163,94 ; R$ 721,36 ;1,60%;1,61%;108;INBURSA;14/08/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;26/08/2026;NAO;26/08/2026;
ALINE MARTINS FERREIRA;HUGO EDUARDO CORREIA ;999.000.041-00;(11) 90000-0041;21;PORTABILIDADE;1620075;INTEGRADO;FINANTO; R$ 10.200,09 ; R$ 235,17 ; R$ -   ;0,00%;0,00%;0;C6 BANK;17/08/2026;25/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;01/09/2026;NAO;17/08/2026;
ALINE MARTINS FERREIRA;HUGO EDUARDO CORREIA ;999.000.041-00;(11) 90000-0041;21;REFIN DA PORTABILIDADE;1660612;AGUARDANDO ORG;FINANTO; R$ 10.769,21 ; R$ 235,16 ; R$ 321,80 ;1,85%;1,88%;108;C6 BANK;17/08/2026;;Telefone Receptivo;INSS;NAO;NAO;NAO;01/09/2026;NAO;01/09/2026;
ALINE MARTINS FERREIRA;KAUÃ PAULO NASCIMENTO;999.000.051-00;(11) 90000-0051;41;PORTABILIDADE;658640847;INTEGRADO;PARANA; R$ 17.518,80 ; R$ 454,38 ; R$ -   ;0,00%;0,00%;0;SICOOB;24/07/2026;30/07/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;04/08/2026;NAO;24/07/2026;
ALINE MARTINS FERREIRA;VANESSA EDUARDO LIMA ;999.000.084-00;(11) 90000-0084;42;PORTABILIDADE;658649439;INTEGRADO;PARANA; R$ 14.749,45 ; R$ 430,00 ; R$ -   ;0,00%;0,00%;0;SICRED;30/07/2026;06/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;07/08/2026;NAO;30/07/2026;
ALINE MARTINS FERREIRA;VANESSA EDUARDO LIMA ;999.000.084-00;(11) 90000-0084;42;REFIN DA PORTABILIDADE;858649446;INTEGRADO;PARANA; R$ 21.228,01 ; R$ 430,00 ; R$ 6.478,56 ;1,60%;1,63%;108;SICRED;30/07/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;10/08/2026;NAO;07/08/2026;
ALINE MARTINS FERREIRA;VANESSA EDUARDO LIMA ;999.000.084-00;(11) 90000-0084;42;PORTABILIDADE;1588857;INTEGRADO;FINANTO; R$ 2.197,40 ; R$ 117,33 ; R$ -   ;0,00%;0,00%;0;SICRED;30/07/2026;06/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;10/08/2026;NAO;30/07/2026;
ALINE MARTINS FERREIRA;VANESSA EDUARDO LIMA ;999.000.084-00;(11) 90000-0084;42;REFIN DA PORTABILIDADE;1588858;INTEGRADO;FINANTO; R$ 5.310,69 ; R$ 117,33 ; R$ 3.007,63 ;1,85%;1,93%;108;SICRED;30/07/2026;;Telefone Receptivo;INSS;SIM;SIM;NAO;10/08/2026;NAO;10/08/2026;
ALINE MARTINS FERREIRA;VANESSA EDUARDO LIMA ;999.000.084-00;(11) 90000-0084;42;PORTABILIDADE;1588855;INTEGRADO;FINANTO; R$ 2.971,70 ; R$ 110,47 ; R$ -   ;0,00%;0,00%;0;PICPAY;30/07/2026;04/08/2026;Telefone Receptivo;INSS;NAO;NAO;NAO;05/08/2026;NAO;30/07/2026;
