Atendente;Cliente;CPF;Telefone;EspecieBeneficio;PropostaTipo;NumeroProposta;PropostaStatus;BancoDigitado;ValorContrato;ValorParcela;ValorTroco;TaxaPorc;TaxaCET;QuantidadeParcelas;BancoPortado;DataEnvioCIP;DataSaldoPago;OrigemCaptacao;Orgao;PossuiGravacao;PossuiFoto;EmRevisao;DataUltimoStatus;PossuiPendente;DataCriacaoProposta;Unnamed: 26
ALINE MARTINS FERREIRA;BEATRIZ WILLIAM TAVARES;999.000.008-00;(11) 90000-0008;42;PORTABILIDADE;658641797;SALDO PAGO;PARANA;0.0;787.39;0.0;0.0;0.0;0;BRB;2026-06-25;04/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-04;False;2026-06-25;
ALINE MARTINS FERREIRA;CAMILA MIGUEL FERREIRA;999.000.015-00;(11) 90000-0015;42;PORTABILIDADE;658716768;INTEGRADO;PARANA;13740.81;398.0;0.0;0.0;0.0;0;INBURSA;2026-08-18;25/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-31;False;2026-08-18;
ALINE MARTINS FERREIRA;CAMILA MIGUEL FERREIRA;999.000.015-00;(11) 90000-0015;42;REFIN DA PORTABILIDADE;858716787;INTEGRADO;PARANA;19846.19;398.0;6136.43;0.016;0.0163;108;INBURSA;2026-08-18;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-31;False;2026-08-31;
ALINE MARTINS FERREIRA;CECILIA MIGUEL MIRANDA;999.000.018-00;(11) 90000-0018;42;PORTABILIDADE;658654791;INTEGRADO;PARANA;23452.54;576.3;0.0;0.0;0.0;0;SANTANDER;2026-08-02;07/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-13;False;2026-08-02;
ALINE MARTINS FERREIRA;CECILIA MIGUEL MIRANDA;999.000.018-00;(11) 90000-0018;42;REFIN DA PORTABILIDADE;858654797;INTEGRADO;PARANA;27315.81;576.3;3863.27;0.016;0.0162;96;SANTANDER;2026-08-02;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-18;False;2026-08-13;
ALINE MARTINS FERREIRA;CECILIA MIGUEL MIRANDA;999.000.018-00;(11) 90000-0018;42;PORTABILIDADE;658654858;INTEGRADO;PARANA;7998.81;213.8;0.0;0.0;0.0;0;MERCANTIL;2026-08-02;07/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-17;False;2026-08-02;
ALINE MARTINS FERREIRA;CECILIA MIGUEL MIRANDA;999.000.018-00;(11) 90000-0018;42;PORTABILIDADE;658654821;INTEGRADO;PARANA;7998.81;213.8;0.0;0.0;0.0;0;MERCANTIL;2026-08-02;07/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-17;False;2026-08-02;
ALINE MARTINS FERREIRA;CECILIA MIGUEL MIRANDA;999.000.018-00;(11) 90000-0018;42;REFIN DA PORTABILIDADE;858714213;INTEGRADO;PARANA;10169.96;213.8;2147.86;0.016;0.0162;96;MERCANTIL;2026-08-02;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-25;False;2026-08-17;
ALINE MARTINS FERREIRA;CECILIA MIGUEL MIRANDA;999.000.018-00;(11) 90000-0018;42;REFIN DA PORTABILIDADE;858716002;INTEGRADO;PARANA;10169.96;213.8;2147.86;0.016;0.0162;96;MERCANTIL;2026-08-02;PORTABILIDADE NÃO CONFIRMADA;TELEFONE RECEPTIVO;INSS;True;True;False;2026-08-25;False;2026-08-17;
ALINE MARTINS FERREIRA;CECILIA MIGUEL MIRANDA;999.000.018-00;(11) 90000-0018;42;PORTABILIDADE;658654740;INTEGRADO;PARANA;7244.03;169.0;0.0;0.0;0.0;0;AGIBANK;2026-08-02;07/08/2026;TELEFONE RECEPTIVO;INSS;False;False;False;2026-08-12;False;2026-08-02;
